Country;Job Title;New age group;Quantity;Percentage
Spain;Database Manager;26-35;1;0.1%
Spain;Field Artillery Automated Tactical Data System Specialist;26-35;1;0.1%
Spain;Datastage Developer;26-35;1;0.1%
Spain;Director of Data Operations;46-55;1;0.1%
Spain;Electronic Data Interchange System Developer (EDI System Developer);19-25;1;0.1%
Spain;Engineer, System Electronic Data Processing (Engineer, System EDP);26-35;1;0.1%
Spain;Electronic Data Interchange System Developer (EDI System Developer);46-55;1;0.1%
Spain;Database Technician;26-35;1;0.1%
Spain;Database Software Technician;56-65;1;0.1%
Spain;Database Specialist;26-35;1;0.1%
Spain;Flight Data Technician;36-45;1;0.1%
Spain;Database Specialist;46-55;1;0.1%
Spain;Field Artillery Automated Tactical Data System Specialist;36-45;1;0.1%
Spain;Field Traffic Data Technician;26-35;1;0.1%
Spain;Database Tester;26-35;1;0.1%
Spain;Data Officer;26-35;1;0.1%
